Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
parent_country,demographics,,text,Parent's Country of residence,,USA or Canada,,,,,"[primary_contact]=""1""",,,,,,
parent_primary_phone,demographics,,text,Parent/Legal Guardian's primary phone number,,Ex: (303) 333-3333,phone,,,y,"[primary_contact]=""1""",,,,,,
parent_secondary_phone,demographics,,text,Parent/Legal Guardian's secondary phone number,,Ex: (303) 333-3333,phone,,,y,"[primary_contact]=""1""",,,,,,
parent_email,demographics,,text,Parent/Legal Guardian's email address,,,email,,,y,"[primary_contact]=""1""",,,,,,
primary_eb_center,demographics,EB Center,dropdown,Primary EB Center,"1, Children's Hospital of San Antonio, TX | 2, Children's National, Washington, DC | 3, Cincinnati Children's Hospital, Cincinnati, OH | 4, Columbia University, New York, NY | 5, Dell Children's Medical Center, Austin, TX | 6, Henry Ford Hospital, Detroit, MI | 7, Hospital for Sick Children, Toronto, Canada | 8, Northwestern/Lurie Children's, Chicago. IL | 9, Phoenix Children's Hospital, Phoenix, AZ | 10, Sainte-Justine Hospital University Center, Montreal, Quebec, Canada | 19, Seattle Children's Hospital | 11, Stanford University and Clinics, Stanford, CA | 12, SUNY Downstate, Brooklyn, NY | 13, Children's Hospital Colorado/University of Colorado Denver, Aurora, CO | 14, University of California San Diego, CA | 15, University of Massachusetts Worcester, MA | 16, University of Miami Jackson Memorial Hospital, Miami, FL | 17, University of Minnesota Minneapolis, MN | 18, Washington University, St. Louis, MO",Select one,,,,,,,,,,,
second_eb_center,demographics,,dropdown,Secondary EB Center,"1, Children's Hospital of San Antonio, TX | 2, Children's National, Washington, DC | 3, Cincinnati Children's Hospital, Cincinnati, OH | 4, Columbia University, New York, NY | 5, Dell Children's Medical Center, Austin, TX | 6, Henry Ford Hospital, Detroit, MI | 7, Hospital for Sick Children, Toronto, Canada | 8, Northwestern/Lurie Children's, Chicago. IL | 9, Phoenix Children's Hospital, Phoenix, AZ | 10, Sainte-Justine Hospital University Center, Montreal, Quebec, Canada | 19, Seattle Children's Hospital | 11, Stanford University and Clinics, Stanford, CA | 12, SUNY Downstate, Brooklyn, NY | 13, Children's Hospital Colorado, University of Colorado Denver, Aurora, CO | 14, University of California San Diego, CA | 15, University of Massachusetts Worcester, MA | 16, University of Miami Jackson Memorial Hospital, Miami, FL | 17, University of Minnesota Minneapolis, MN | 18, Washington University, St. Louis, MO",Select one,,,,,,,,,,,
pcp,demographics,Primary Care Physician,text,Primary Care Physician (PCP) Name,,"Last name, First name",,,,,,,,,,,
pcp_phone,demographics,,text,PCP's Phone Number,,Ex: (303) 333-3333,phone,,,,,,,,,,
pcp_email,demographics,,text,PCP's Email address,,,email,,,,,,,,,,
pcp_practice,demographics,,text,PCP's Practice Name ,,,,,,,,,,,,,
pcp_address_n,demographics,,text,PCP's Address,,St. Address ,,,,,,,,,,,
pcp_city,demographics,,text,"PCP's city, town, or village",,City,,,,,,,,,,,
pcp_state,demographics,,text,PCP's State or Province,,State: CO,,,,,,,,,,,
pcp_zip,demographics,,text,PCP's Zip/Postal Code,,5 digits: Ex: 80357,,,,,,,,,,,
pcp_country,demographics,,text,PCP's Country,,USA or Canada,,,,,,,,,,,
email_survey,demographics,Survey Email (For sending Surveys Electronically from REDCap),text,"Email address that will be used for Survey Invites(Parent Email for Minor; Participant Email for Adult)",,,email,,,y,,,,,,,
dateofdiag,diagnosis,Diagnosis,text,Date of Initial EB Diagnosis,,YYYY-MM-DD,date_ymd,,,,,y,,,,,
age_diagnosis,diagnosis,,radio,Age at Diagnosis ,"0, Prenatal | 1, At birth | 2, Less than 1 year | 3, More than 1 year | 999, Unknown",Select one,,,,,,,,,,,
age_diagnosis_mths,diagnosis,,text,"Age at Diagnosis in Months (if less than 1 year, but not at birth)",,Age in months,integer,1,12,,"[age_diagnosis]=""2""",,,,,,
age_diagnosis_years,diagnosis,,text,Age at Diagnosis in Years (if more than 1 year),,Age in years,integer,1,,,"[age_diagnosis]=""3""",,,,,,
age_symptoms,diagnosis,,radio,Age at Onset of Symptoms,"0, Prenatal | 1, At birth | 2, Less than 1 year | 3, More than 1 year | 999, Unknown",Select one,,,,,,,,,,,
age_sympoms_mths,diagnosis,,text,"Age at Onset of Symptoms in Months (if less than 1 year, but not at birth)",,Age in months,integer,1,12,,"[age_symptoms]=""2""",,,,,,
age_symptoms_years,diagnosis,,text,Age at Onset of Symptoms in Years (if more than 1 year),,Age in years,integer,1,,,"[age_symptoms]=""3""",,,,,,
family_history,diagnosis,EB Family History ,checkbox,Immediate Family (select all affected members) ,"0, None | 1, Father | 2, Mother | 3, Brother | 4, Sister | 5, Half-brother | 6, Half-Sister | 7, Son | 8, Daughter | 9, Unknown",Check all that apply,,,,,,,,,,,
paternal_history,diagnosis,,checkbox,Paternal Family (select all affected members),"0, None | 1, Paternal Grandfather | 2, Paternal Grandmother | 3, Paternal Uncle | 4, Paternal Aunt | 5, Paternal Cousin | 6, Unknown",Check all that apply,,,,,,,,,,,
maternal_history,diagnosis,,checkbox,Maternal Family (select all affected members),"0, None | 1, Maternal Grandfather | 2, Maternal Grandmother | 3, Maternal Uncle | 4, Maternal Aunt | 5, Maternal Cousin | 6, Unknown",Check all that apply,,,,,,,,,,,
extended_family,diagnosis,,checkbox,Extended Family (select all affected members),"0, None | 1, Grandson | 2, Granddaughter | 3, Nephew | 4, Niece | 5, Unknown",Check all that apply,,,,,,,,,,,
major_eb_type,diagnosis,EB Major Type,radio,Type of EB,"1, EB Simplex (EBS) | 2, Junctional (JEB) | 3, Dystrophic (DEB) | 4, Kindler syndrome | 999, Unknown",Select one,,,,,,y,,,,,
eb_subtype_n,diagnosis,EB Subtype,radio,Subtype of EB,"1, EBS Suprabasal | 2, EBS Basal | 3, JEB Generalized | 4, JEB Localized | 5, DDEB (Dominant DEB) | 6, RDEB (Recessive DEB) | 999, Unspecified",Select one,,,,,,,,,,,
ebs_supra_clnc_subtype,diagnosis,EB Clinical Subtype (2014 Classification),checkbox,EBS Suprabasal Clinical Subtype,"1, EBS Acral peeling skin syndrome (APSS) | 2, EBS superficialis (EBSS) | 3, Acantholytic EBS (EBS-acanth) | 4, Desmoplakin deficiency (EBS-desmoplakin) | 5, Plakoglobin defeiciency (EBS-plakoglobin) | 6, Plakophilin deficiency (EBS-plakophilin) | 999, Unspecified",Check all that apply,,,,,"[eb_subtype_n]=""1""",,,,,,
ebs_basal_clc_subtype,diagnosis,,checkbox,EBS Basal Clinical Subtype,"1, EBS localized (EBS-loc) | 2, EBS generalized severe (EBS-gen sev) | 3, EBS generalized intermediate (EBS-gen intermed) | 4, EBS with mottled pigmentation (EBS-MP) | 5, EBS migratory circinate (EBS-migr) | 6, EBS autosomal recessive K14 EBS-AR K14) | 7, EBS with muscular dystrophy (EBS-MD) | 8, EBS with pyloric aresia (EBS-PA) | 9, EBS-Ogna (EBS-Og) | 10, EBS autosomal recessive BP230 deficiency (EBS-AR BP230) | 11, EBS autosomal recessive Exophilin 5 deficiency (EBS-AR exophilin 5) | 999, Unspecified",Check all that apply,,,,,"[eb_subtype_n]=""2""",,,,,,
jeb_gen_clc_subtype,diagnosis,,checkbox,JEB Generalized Clinical Subtype,"1, JEB generalized severe (JEB-gen sev) | 2, JEB generalized intermediate (JEB-gen intermed) | 3, JEB with pyloric atresia (JEB-PA) | 4, JEB late onset (JEB-LO) | 5,  JEB with respiratory and renal involvement (JEB-RR) | 999, Unspecified",Check all that apply,,,,,"[eb_subtype_n]=""3""",,,,,,
jeb_loc_clc_subtype,diagnosis,,checkbox,JEB Localized Clinical Subtype,"1, JEB localized (JEB-loc) | 2, JEB inversa (JEB-inv) | 3, JEB-LOC syndrome | 999, Unspecified",Check all that apply,,,,,"[eb_subtype_n]=""4""",,,,,,
ddeb_clc_subtype,diagnosis,,checkbox,DDEB Clinical Subtype,"1, DDEB generalized (DDEB-gen) | 2, DDEB acral (DDEB-ac) | 3, DDEB pretibial (DDEB-pt) | 4, DDEB pruriginosa (DDEB-pr) | 5, DDEB nails only (DDB-na) | 6, DDEB bullous dermolysis of the newborn (DDEB-BDN) | 999, Unspecified",Check all that apply,,,,,"[eb_subtype_n]=""5""",,,,,,
rdeb_clc_subtype,diagnosis,,checkbox,RDEB Clinical Subtype,"1, RDEB generalized severe (RDEB-gen sev) | 2, RDEB generalized intermediate (RDEB-gen intermed) | 3, RDEB inversa (RDEB-inv) | 4, RDEB localized (RDEB-loc) | 5, RDEB pretibial (RDEB-pt) | 6, RDEB pruriginosa (RDEB-pr) | 7, RDEB centripetalis (RDEB-ce) | 8, RDEB bullous dermolysis of the newborn (RDEB-BDN) | 999, Unspecified",Check all that apply,,,,,"[eb_subtype_n]=""6""",,,,,,
em_performed_n,diagnosis,Electron Microscopy (EM),radio,EM Performed,"1, Yes | 0, No",,,,,,,,,,,,
em_date,diagnosis,,text,Date EM performed,,YYYY-MM-DD,date_ymd,,,,"[em_performed_n]=""1""",y,,,,,
em_blister_level,diagnosis,,checkbox,EM Level of Blister formation,"1, Granular layer | 2, Suprabasal (mid-epidermal) | 3, Basal layer (basal keratinocytes) | 4, Lamina lucida | 5, Sublamina densa | 6, No blister seen | 7, Other",Check all that apply,,,,,"[em_performed_n]=""1""",,,,,,
em_blister_comment,diagnosis,,notes,EM Blister (Other) Comment,,,,,,,"[em_performed_n]=""1""",,,,,,
em_morphology,diagnosis,,checkbox,EM Morphology (check all that apply),"1, Clumped keratin filaments | 2, Reduced integration of keratin filaments to hemidesmosome | 3, Reduced or absent keratin filaments | 4, Perinuclear retraction of keratin filaments | 5, Diminutive desmosomes | 6, Reduced or absent hemidesmosomes | 7, Attenuated or absent sub-basal dense plaque | 8, Anchoring fibrils-normal | 9, Anchoring fibrils-reduced | 10, Anchoring fibrils-absent or rudimentary | 11, Electron dense stellate bodies within basal layer | 12, Other",Check all that apply,,,,,"[em_performed_n]=""1""",,,,,,
em_morphology_comment,diagnosis,,notes,EM Morphology (Other ) Comment,,,,,,,"[em_performed_n]=""1"" and [em_morphology(12)]=""1""",,,,,,
if_performed,diagnosis,Immunofluorescence (IF),radio,IF performed,"1, Yes | 0, No",,,,,,,,,,,,
if_date,diagnosis,,text,Date IF perfomed,,YYYY-MM-DD,date_ymd,,,,"[if_performed]=""1""",y,,,,,
if_blister_level,diagnosis,,checkbox,IF Level of Blister Formation,"1, Granular layer | 2, Suprabasal (mid-epidermal) | 3, Basal layer (basal keratinocytes) | 4, Lamina lucida | 5, Sublamina densa | 6, No blister seen | 7, Other",Check all that apply,,,,,"[if_performed]=""1""",,,,,,
if_blister_comment,diagnosis,,notes,IF Blister (Other) Comment,,,,,,,"[if_performed]=""1"" and [if_blister_level(7)]=""1""",,,,,,
if_tgm,diagnosis,IF Antigens,checkbox,Transglutaminase 5,"1, Normal | 2, Reduced | 3, Absent | 4, Not preformed",,,,,,"[if_performed]=""1""",,,,if_anigens,,
if_jup,diagnosis,,checkbox,Plakoglobin,"1, Normal | 2, Reduced | 3, Absent | 4, Not preformed",,,,,,"[if_performed]=""1""",,,,if_anigens,,
if_pkp,diagnosis,,checkbox,Plakophilin 1,"1, Normal | 2, Reduced | 3, Absent | 4, Not preformed",,,,,,"[if_performed]=""1""",,,,if_anigens,,
if_dsp,diagnosis,,checkbox,Desmoplakin,"1, Normal | 2, Reduced | 3, Absent | 4, Not preformed",,,,,,"[if_performed]=""1""",,,,if_anigens,,
if_krt_fv,diagnosis,,checkbox,Keratin 5,"1, Normal | 2, Reduced | 3, Absent | 4, Not preformed",,,,,,"[if_performed]=""1""",,,,if_anigens,,
if_krt_frtn,diagnosis,,checkbox,Keratin 14,"1, Normal | 2, Reduced | 3, Absent | 4, Not preformed",,,,,,"[if_performed]=""1""",,,,if_anigens,,
if_plectin,diagnosis,,checkbox,Plectin,"1, Normal | 2, Reduced | 3, Absent | 4, Not preformed",,,,,,"[if_performed]=""1""",,,,if_anigens,,
if_bp_dystonin,diagnosis,,checkbox,BP230 (dystonin),"1, Normal | 2, Reduced | 3, Absent | 4, Not preformed",,,,,,"[if_performed]=""1""",,,,if_anigens,,
if_exophilin,diagnosis,,checkbox,Exophilin 5,"1, Normal | 2, Reduced | 3, Absent | 4, Not preformed",,,,,,"[if_performed]=""1""",,,,if_anigens,,
if_kindlin,diagnosis,,checkbox,Kindlin 1,"1, Normal | 2, Reduced | 3, Absent | 4, Not preformed",,,,,,"[if_performed]=""1""",,,,if_anigens,,
if_itga_3,diagnosis,,checkbox,Integrin alpha 3,"1, Normal | 2, Reduced | 3, Absent | 4, Not preformed",,,,,,"[if_performed]=""1""",,,,if_anigens,,
if_intga_6,diagnosis,,checkbox,Integrin alpha 6,"1, Normal | 2, Reduced | 3, Absent | 4, Not preformed",,,,,,"[if_performed]=""1""",,,,if_anigens,,
if_intgb_4,diagnosis,,checkbox,Integrin beta 4,"1, Normal | 2, Reduced | 3, Absent | 4, Not preformed",,,,,,"[if_performed]=""1""",,,,if_anigens,,
if_collagen_17,diagnosis,,checkbox,Collagen XVII (17),"1, Normal | 2, Reduced | 3, Absent | 4, Not preformed",,,,,,"[if_performed]=""1""",,,,if_anigens,,
if_laminin_a,diagnosis,,checkbox,Laminin 332-alpha,"1, Normal | 2, Reduced | 3, Absent | 4, Not preformed",,,,,,"[if_performed]=""1""",,,,if_anigens,,
if_laminin_b,diagnosis,,checkbox,Laminin 332-beta,"1, Normal | 2, Reduced | 3, Absent | 4, Not preformed",,,,,,"[if_performed]=""1""",,,,if_anigens,,
if_laminin_c,diagnosis,,checkbox,Laminin 332-gamma,"1, Normal | 2, Reduced | 3, Absent | 4, Not preformed",,,,,,"[if_performed]=""1""",,,,if_anigens,,
if_collagen_7,diagnosis,,checkbox,Collagen VII (7),"1, Normal | 2, Reduced | 3, Absent | 4, Not preformed",,,,,,"[if_performed]=""1""",,,,if_anigens,,
if_comments,diagnosis,,notes,Comments for Additonal IF,,,,,,,"[if_performed]=""1""",,,,,,
genetic_tests,diagnosis,Genetic Tests,radio,Has Genetic Testing been performed?,"1, Yes | 0, No",,,,,,,,,,,,
genetic_date,diagnosis,,text,Date of Genetic Testing,,YYYY-MM-DD,date_ymd,,,,"[genetic_tests]=""1""",y,,,,,
mut_krt5,diagnosis,Genetic Mutations,checkbox,KRT5,"0, Substitution | 1, Missense | 2, Nonsense | 3, Insertion | 4, Deletion | 5, Duplication | 6, Frameshift | 7, Splice site",,,,,,"[genetic_tests]=""1""",,,,mutated_genes,,
mut_krt14,diagnosis,,checkbox,KRT14,"0, Substitution | 1, Missense | 2, Nonsense | 3, Insertion | 4, Deletion | 5, Duplication | 6, Frameshift | 7, Splice site",,,,,,"[genetic_tests]=""1""",,,,mutated_genes,,
mut_plec,diagnosis,,checkbox,PLEC,"0, Substitution | 1, Missense | 2, Nonsense | 3, Insertion | 4, Deletion | 5, Duplication | 6, Frameshift | 7, Splice site",,,,,,"[genetic_tests]=""1""",,,,mutated_genes,,
mut_lama3,diagnosis,,checkbox,LAMA3,"0, Substitution | 1, Missense | 2, Nonsense | 3, Insertion | 4, Deletion | 5, Duplication | 6, Frameshift | 7, Splice site",,,,,,"[genetic_tests]=""1""",,,,mutated_genes,,
mut_lamb3,diagnosis,,checkbox,LAMB3,"0, Substitution | 1, Missense | 2, Nonsense | 3, Insertion | 4, Deletion | 5, Duplication | 6, Frameshift | 7, Splice site",,,,,,"[genetic_tests]=""1""",,,,mutated_genes,,
mut_lamc2,diagnosis,,checkbox,LAMC2,"0, Substitution | 1, Missense | 2, Nonsense | 3, Insertion | 4, Deletion | 5, Duplication | 6, Frameshift | 7, Splice site",,,,,,"[genetic_tests]=""1""",,,,mutated_genes,,
mut_col17a1,diagnosis,,checkbox,COL17A1,"0, Substitution | 1, Missense | 2, Nonsense | 3, Insertion | 4, Deletion | 5, Duplication | 6, Frameshift | 7, Splice site",,,,,,"[genetic_tests]=""1""",,,,mutated_genes,,
mut_itgb4,diagnosis,,checkbox,ITGB4,"0, Substitution | 1, Missense | 2, Nonsense | 3, Insertion | 4, Deletion | 5, Duplication | 6, Frameshift | 7, Splice site",,,,,,"[genetic_tests]=""1""",,,,mutated_genes,,
mut_itga6,diagnosis,,checkbox,ITGA6,"0, Substitution | 1, Missense | 2, Nonsense | 3, Insertion | 4, Deletion | 5, Duplication | 6, Frameshift | 7, Splice site",,,,,,"[genetic_tests]=""1""",,,,mutated_genes,,
mut_col7a1,diagnosis,,checkbox,COL7A1,"0, Substitution | 1, Missense | 2, Nonsense | 3, Insertion | 4, Deletion | 5, Duplication | 6, Frameshift | 7, Splice site",,,,,,"[genetic_tests]=""1""",,,,mutated_genes,,
mut_fermt1,diagnosis,,checkbox,FERMT1 (KIND1),"0, Substitution | 1, Missense | 2, Nonsense | 3, Insertion | 4, Deletion | 5, Duplication | 6, Frameshift | 7, Splice site",,,,,,"[genetic_tests]=""1""",,,,mutated_genes,,
mut_tgm5,diagnosis,,checkbox,TGM5,"0, Substitution | 1, Missense | 2, Nonsense | 3, Insertion | 4, Deletion | 5, Duplication | 6, Frameshift | 7, Splice site",,,,,,"[genetic_tests]=""1""",,,,mutated_genes,,
mut_dsp,diagnosis,,checkbox,DSP,"0, Substitution | 1, Missense | 2, Nonsense | 3, Insertion | 4, Deletion | 5, Duplication | 6, Frameshift | 7, Splice site",,,,,,"[genetic_tests]=""1""",,,,mutated_genes,,
mut_pkp1,diagnosis,,checkbox,PKP1,"0, Substitution | 1, Missense | 2, Nonsense | 3, Insertion | 4, Deletion | 5, Duplication | 6, Frameshift | 7, Splice site",,,,,,"[genetic_tests]=""1""",,,,mutated_genes,,
mut_jup,diagnosis,,checkbox,JUP,"0, Substitution | 1, Missense | 2, Nonsense | 3, Insertion | 4, Deletion | 5, Duplication | 6, Frameshift | 7, Splice site",,,,,,"[genetic_tests]=""1""",,,,mutated_genes,,
mut_exph5,diagnosis,,checkbox,EXPH5,"0, Substitution | 1, Missense | 2, Nonsense | 3, Insertion | 4, Deletion | 5, Duplication | 6, Frameshift | 7, Splice site",,,,,,"[genetic_tests]=""1""",,,,mutated_genes,,
mut_dst,diagnosis,,checkbox,DST,"0, Substitution | 1, Missense | 2, Nonsense | 3, Insertion | 4, Deletion | 5, Duplication | 6, Frameshift | 7, Splice site",,,,,,"[genetic_tests]=""1""",,,,mutated_genes,,
mut_itga3,diagnosis,,checkbox,ITGA3,"0, Substitution | 1, Missense | 2, Nonsense | 3, Insertion | 4, Deletion | 5, Duplication | 6, Frameshift | 7, Splice site",,,,,,"[genetic_tests]=""1""",,,,mutated_genes,,
mut_other,diagnosis,,checkbox,Other,"0, Substitution | 1, Missense | 2, Nonsense | 3, Insertion | 4, Deletion | 5, Duplication | 6, Frameshift | 7, Splice site",,,,,,"[genetic_tests]=""1""",,,,mutated_genes,,
gene_mut_other,diagnosis,,text,Specify (Other) mutated gene,,Describe the mutated gene not on the list,,,,,"[genetic_tests]=""1""",,,,,,
mut_1,diagnosis,,notes,Mutation type for Allele 1 (from old database),,,,,,,"[genetic_tests]=""1""",,,,,,
mut_2,diagnosis,,notes,Mutation type for Allele 2 (from old database),,,,,,,"[genetic_tests]=""1""",,,,,,
mut1_gene,diagnosis,Mutation #1 (Allele 1),dropdown,Affected gene #1,"1, KRT5 | 2, KRT14 | 3, PLEC | 4, LAMA3 | 5, LAMB3 | 6, LAMC2 | 7, COL17A1 | 8, ITGB4 | 9, ITGA6 | 10, COL7A1 | 11, FERMT1 (KIND1) | 12, TGM5 | 13, DSP | 14, PKP1 | 15, JUP | 16, EXPH5 | 17, DST | 18, ITGA3 | 19, Other",Select one,,,,,"[genetic_tests]=""1""",,,,,,
mut1_call,diagnosis,,notes,Variant Call for Mutation #1 (Allelle 1),,Ex: c.6527insC,,,,,"[genetic_tests]=""1""",,,,,,
mut1_exon,diagnosis,,notes,Exon for Mutation #1,,Ex: exon 80,,,,,"[genetic_tests]=""1""",,,,,,
mut1_aminoacid,diagnosis,,notes,Amino Acid change for Mutation #1,,Ex: p.Pro2175fsX113,,,,,"[genetic_tests]=""1""",,,,,,
mut1_comment,diagnosis,,notes,Comments for Mutation #1,,,,,,,"[genetic_tests]=""1""",,,,,,
mut2_gene,diagnosis,Mutation #2 (Allele 2),dropdown,Affected gene #2,"1, KRT5 | 2, KRT14 | 3, PLEC | 4, LAMA3 | 5, LAMB3 | 6, LAMC2 | 7, COL17A1 | 8, ITGB4 | 9, ITGA6 | 10, COL7A1 | 11, FERMT1 (KIND1) | 12, TGM5 | 13, DSP | 14, PKP1 | 15, JUP | 16, EXPH5 | 17, DST | 18, ITGA3 | 19, Other",Select one,,,,,"[genetic_tests]=""1""",,,,,,
mut2_call,diagnosis,,notes,Variant Call for Mutation #2 (Allelle 2),,Ex: c.6527insC,,,,,"[genetic_tests]=""1""",,,,,,
mut2_exon,diagnosis,,notes,Exon for Mutation #2,,Ex: exon 80,,,,,"[genetic_tests]=""1""",,,,,,
mut2_aminoacid,diagnosis,,notes,Amino Acid change for Mutation #2,,Ex: p.Pro2175fsX113,,,,,"[genetic_tests]=""1""",,,,,,
mut2_comment,diagnosis,,notes,Comments for Mutation #2,,,,,,,"[genetic_tests]=""1""",,,,,,
mut3_gene,diagnosis,Mutation #3 (Allele 3),dropdown,Affected gene #3,"1, KRT5 | 2, KRT14 | 3, PLEC | 4, LAMA3 | 5, LAMB3 | 6, LAMC2 | 7, COL17A1 | 8, ITGB4 | 9, ITGA6 | 10, COL7A1 | 11, FERMT1 (KIND1) | 12, TGM5 | 13, DSP | 14, PKP1 | 15, JUP | 16, EXPH5 | 17, DST | 18, ITGA3 | 19, Other",Select one,,,,,"[genetic_tests]=""1""",,,,,,
mut3_call,diagnosis,,notes,Variant Call for Mutation #3 (Allele 3),,Ex: c.6527insC,,,,,"[genetic_tests]=""1""",,,,,,
mut3_exon,diagnosis,,notes,Exon for Mutation #3,,Ex: exon 80,,,,,"[genetic_tests]=""1""",,,,,,
mut3_aminoacid,diagnosis,,notes,Amino Acid change for Mutation #3,,Ex: p.Pro2175fsX113,,,,,"[genetic_tests]=""1""",,,,,,
mut3_comment,diagnosis,,notes,Comments for Mutation #3,,,,,,,"[genetic_tests]=""1""",,,,,,
cong_skin_abs,sentinel_events,Cutaneous,radio,Was the patient born with areas of absent skin?,"1, Yes | 0, No | 2, Unknown",At birth,,,,,,,,,,,
abs_skin,sentinel_events,,checkbox,Areas of Absent skin (check all that apply),"0, Right Upper Extremity | 1, Left Upper Extremity | 2, Right Lower Extremity | 3, Left Lower Extremity | 4, Other",Check all that apply,,,,,"[cong_skin_abs]=""1""",,,,,,
abs_skin_other,sentinel_events,,notes,Specify Other Areas of Absent skin,,,,,,,"[cong_skin_abs]=""1"" and [abs_skin(4)]=""1""",,,,,,
hist_scc,sentinel_events,,radio,Has the patient had Squamous Cell Carcinoma (SCC)?,"1, Yes | 0, No",Lifetime SCC,,,,,,,,,,,
date_first_scc,sentinel_events,,text,Estimated date of first SCC,,YYYY-MM-DD,date_ymd,,,,"[hist_scc]=""1""",y,,,,,
age_first_scc,sentinel_events,,calc,Estimated age at first SCC,"round(datediff([visit_1_arm_1][dob], [date_first_scc],""y"",""ymd""),2)",Calculated field,,,,,"[hist_scc]=""1""",,,,,,
circumcision,sentinel_events,Circumcision,radio,Has the patient been Circumcised? ,"1, Yes | 0, No |2, N/A, patient is female",,,,,,,,,,,,
date_circum,sentinel_events,,text,Estimated date of Circumcision,,YYYY-MM-DD,date_ymd,,,,"[circumcision]=""1""",y,,,,,
age_circumcision_y,sentinel_events,,calc,Estimated age at Circumcision,"round(datediff([visit_1_arm_1][dob], [date_circum],""y"",""ymd""),2)",Calculated field,,,,,"[circumcision]=""1""",,,,,,
hist_hand_srg,sentinel_events,Musculoskeletal (Hand surgery),radio,Has the patient had Hand surgeries?,"1, Yes | 0, No",Lifetime hand surgery,,,,,,,,,,,
